"ssp","kendall","pval","capital"
"1",-0.00780853224987303,0.877029321472601,"edu"
"2",0.0349796851193499,0.488204329807728,"edu"
"3",0.0267893985216683,0.59549986453962,"edu"
"4",0.144104110531249,0.00429423906864053,"edu"
"5",0.0245040469890142,0.627254770926109,"edu"
"1",-0.0853529112766455,0.101796189387472,"health"
"2",-0.0542985395029615,0.284562519200043,"health"
"3",-0.0288685114009267,0.56787279943444,"health"
"4",0.0627583994904147,0.21432332535261,"health"
"5",-0.0511132631588671,0.320539570145409,"health"
"1",0.0385714285714286,0.447254962549555,"ma"
"2",0.0374025974025974,0.46114115018032,"ma"
"3",-0.00428571428571429,0.932703127710838,"ma"
"4",0.0390909090909091,0.441160476171772,"ma"
"5",0.0931168831168831,0.0665433405743319,"ma"
"1",-0.111261267610631,0.0230514514373199,"gini"
"2",-0.0960157789852104,0.0498882196767796,"gini"
"3",0.0169987616796127,0.728348410279283,"gini"
"4",-0.0104694360013509,0.830613825065703,"gini"
"5",-0.112236856917708,0.0218333758124147,"gini"
"1",0.5347218448052,1.77661190535362e-27,"tec"
"2",0.573261612936661,2.5097025426059e-31,"tec"
"3",0.643598874869122,4.65137169326133e-39,"tec"
"4",0.708487999900617,5.81944026374451e-47,"tec"
"5",0.554088698850499,2.17623443272452e-29,"tec"
"1",0.824011174029189,6.62510551386343e-64,"wap"
"2",0.761923392025132,6.85418236150722e-55,"wap"
"3",0.687218045112782,5.09796659985056e-45,"wap"
"4",0.573155109997215,7.72896541261262e-32,"wap"
"5",0.84182678919521,1.18449224171054e-66,"wap"
